Make,Luminaire Colour (RAL),Order Code,Characteristics,DIA (mm),Length (mm),Width (mm),Height (mm),Mounting Type,Beam Angle (Degree),IP Class,Wattage (Nominal) (W),Op. Voltage (V),Op. Current (A),Lumen Output (lm),CCT (Kelvin),CRI,Lumen Efficacy (lum/w),Driver Make,Driver Order Code,Driver Type,Dimmable,Weight/Luminaire (kg),Warranty Period (Year),Remarks,Website Link,Visual details
ENDO,Matt Black,GERD5440BB-T_GRX466N-T,GLARE-LESS Downlight Adjustable Mirror,85,,,107,RECESSED,27,20,10.2,,15,657,3500,83,64.41,,GRX466N-T,NON-INTEGRATED,NO,0.3,5,,https://data5.endo-lighting.co.jp/products/search/index.jsp?pageType=aimai&aimaiHinban=GERD5440BB,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/38a9e9a0-b9ce-4eb9-876b-37a066baa7af/93aef33e-4d8c-4500-9d8c-52c23615db7e_thumb.jpg
iGuzzini,White,Q667,Palco - Spots On Track Light,86,153,,171,SURFACE,8,20,15.2,,,576,3000,90,37,,,INTEGRATED,YES,0.9,5,,https://www.iguzzini.com/q667/,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/6369ec3b-da7f-4e92-bac3-71032b2426c1/1d3ddebd-dab4-414b-a3a4-927275208839_thumb.jpg
ENDO,MATT WHITE,GERD8907W-T_GRX466N-T,GLARE-LESS Downlight Fixed Mirror,60,,,97,RECESSED,18,20,10.2,,350,421,3000,83,41.27,,GRX466N-T,NON-INTEGRATED,NO,0.2,5,,https://data5.endo-lighting.co.jp/products/search/pupup_syousaiPage.jsp?hinban=GERD8907WA-T_GRX466N-T&step=INDOOR/DOWNLIGHT/GLARE-LESS,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/5eb8d663-cb60-4c27-be8a-f8d670dbf72f/gerd8907_thumb.jpg
LIGMAN,Dark Grey,LD-50111-W-8030-ND-02,,,146,120,295,NO,,,,SURFACE,33,65,35,,,3320,3000,80,95,,,INTEGRATED,NO,
ENDO,MATT WHITE,GERD8366WA-T_GRX467N-T,GLARE-LESS Downlight Fixed Mirror,85,,,97,RECESSED,17,20,14.2,,500,554,3500,83,39.01,Endo,GRX467N-T,NON-INTEGRATED,NO,0.3,5,,https://data5.endo-lighting.co.jp/products/search/pupup_syousaiPage.jsp?hinban=GERD8366WA-T_GRX467N-T&step=INDOOR/DOWNLIGHT/GLARE-LESS,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/5896d730-2f70-401d-818e-ec868aff2a38/photo_thumb.jpg
LINEA LIGHT,WHITE,80410,RUBBER 2D,,1000,14,14,YES,100,1000,100,SURFACE,Diffused,67,10,48,,472,3000,85,47,,,NON-INTEGRATED,NO,
LED LINEAR,Sliver,MARS ARCHITECTURAL SES62 40 15W930 SSXX 1020,MARS ARCHITECTURAL SURFACE 62 SW NANO,YES,395,3020,125,,1020,42,62,SURFACE,40,40,15,24,,1350,3000,95,119,,,NON-INTEGRATED,NO,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/38a9e9a0-b9ce-4eb9-876b-37a066baa7af/93aef33e-4d8c-4500-9d8c-52c23615db7e_thumb.jpg
Linea Light,WHITE,82136,Rubber 2D,,1000,14,14,YES,100,1000,100,SURFACE,Diffused,67,10,48,10,444,3000,85,44,,,NON-INTEGRATED,YES,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/6369ec3b-da7f-4e92-bac3-71032b2426c1/1d3ddebd-dab4-414b-a3a4-927275208839_thumb.jpg
SIMES,Aluminium Grey,S.3075N.14,MOVIT SQUARE 320mm,,320,,295,SURFACE,112�x116�,66,42,,,4004,4000,79,95,,,NON-INTEGRATED,YES,4.4,5,,https://www.simes.it/en/code/S.3075N-movit-square-320mm,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/5eb8d663-cb60-4c27-be8a-f8d670dbf72f/gerd8907_thumb.jpg
IGUZZINI,Black / White,RA44.47,Adjustable round recessed luminaire,104,,,95,RECESSED,18,20,10,,,1082,3000,90,108,,,NON-INTEGRATED,YES,0.28,5,,https://www.iguzzini.com/ra44/,
iGuzzini,White / Black,RA20.47,Laser - Fixed round recessed luminaire,104,,,106,RECESSED,30,20,17,,,1724,3500,90,101,,,NON-INTEGRATED,YES,0.38,5,,https://www.iguzzini.com/ra20/,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/5896d730-2f70-401d-818e-ec868aff2a38/photo_thumb.jpg
iGuzzini,White,RA44.01,Laser - Adjustable round recessed luminaire,104,,,95,RECESSED,18,20,10,,300,1082,3000,90,108,,,NON-INTEGRATED,YES,0.28,5,,https://www.iguzzini.com/ra44/,
iGuzzini,White,RA18.01,Laser - Fixed round recessed luminaire,104,,,107,RECESSED,30,20,17,,,1724,3000,90,101,,,NON-INTEGRATED,YES,0.38,5,,https://www.iguzzini.com/ra18/,
iGuzzini,White,P711,Laser Pinhole - fixed recessed,75,82,,99,RECESSED,10,20,6.1,,,352,3000,90,57,,,NON-INTEGRATED,NO,0.38,5,,https://www.iguzzini.com/cn/p711/,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/38a9e9a0-b9ce-4eb9-876b-37a066baa7af/93aef33e-4d8c-4500-9d8c-52c23615db7e_thumb.jpg
iGuzzini,White,P350.01,Laser - Fixed round recessed luminaire,83,,,89,RECESSED,26,20,10,,300,1001,3000,90,100,,,NON-INTEGRATED,YES,0.26,5,,https://www.iguzzini.com/cn/p350/,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/6369ec3b-da7f-4e92-bac3-71032b2426c1/1d3ddebd-dab4-414b-a3a4-927275208839_thumb.jpg
iGuzzini,Steel,E110 3W,Light Up - Floor recessed Orbit,80,,,83,INGROUND,Light blade,68,3,,350,34,4000,80,11,,,NON-INTEGRATED,NO,12.21,5,,https://www.iguzzini.com/cn/e110/,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/5eb8d663-cb60-4c27-be8a-f8d670dbf72f/gerd8907_thumb.jpg
iGuzzini,Steel,E110 4.5W,Light Up - Floor recessed Orbit,80,,,83,INGROUND,Light blade,68,4.5,,,46,4000,80,11,,,NON-INTEGRATED,NO,12.21,5,,https://www.iguzzini.com/cn/e110/,
iGuzzini,White / Black,MK50,Laser Blade - 5 - cell Recessed luminaire,,148,44,54,RECESSED,32,20,12.7,,,891,3000,90,70,,,INTEGRATED,NO,0.29,5,,https://www.iguzzini.com/mk50/,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/5896d730-2f70-401d-818e-ec868aff2a38/photo_thumb.jpg
iGuzzini,White,P349.01,Laser - Fixed round recessed luminaire,83,,,89,RECESSED,44,20,10,,0.3,978,2700,90,97,,,NON-INTEGRATED,YES,0.26,5,,https://www.iguzzini.com/p349/,
iGuzzini,Steel,E111,Light Up - Recessed floor luminaire,144,,,178,INGROUND,10,68,9,,,548,3000,80,60,,,INTEGRATED,NO,1.63,5,,https://www.iguzzini.com/e111/,
iGuzzini,White,P321.01,Laser - Fixed round recessed luminaire,67,,,77,RECESSED,22,20,6.8,,0.2,648,3000,90,95,,,NON-INTEGRATED,YES,0.13,5,,https://www.iguzzini.com/p321/,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/38a9e9a0-b9ce-4eb9-876b-37a066baa7af/93aef33e-4d8c-4500-9d8c-52c23615db7e_thumb.jpg
Plus Light Tech,White,PERDU ONE,,54,,,88,RECESSED,48�/35� (Narrow),45,7.5,,0.5,640,3000,97,70,,,NON-INTEGRATED,NO,,5,,https://pluslighttech.com/product/perdu-downlight-deep-recessed/,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/6369ec3b-da7f-4e92-bac3-71032b2426c1/1d3ddebd-dab4-414b-a3a4-927275208839_thumb.jpg
ENDO,White,GERD5443WD-T_GRX480N-T,GLARE-LESS Downlight Adjustable Mirror,85,,,105,NO,,,,RECESSED,27,20,14.2,,,820,3000,83,57.74,,GRX480N-T,NON-INTEGRATED,YES,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/5eb8d663-cb60-4c27-be8a-f8d670dbf72f/gerd8907_thumb.jpg
ENDO,White,GERD8203WB-T_GRX469N-T,GLARE-LESS Downlight Fixed Mirror,108,,,133,RECESSED,42,20,27.7,,,1699,3000,83,61,ENDO,GRX469N-T,NON-INTEGRATED,NO,0.5,5,,https://data5.endo-lighting.co.jp/products/search/index.jsp,
ENDO,White,GERD8206WB-T_GRX469N-T,GLARE-LESS Downlight Fixed Mirror,108,,,133,RECESSED,42,20,27.7,,,1397,3000,93,50,ENDO,GRX469N-T,NON-INTEGRATED,NO,0.5,5,,https://data5.endo-lighting.co.jp/products/search/index.jsp?pageType=aimai&aimaiHinban=GERD8206,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/5896d730-2f70-401d-818e-ec868aff2a38/photo_thumb.jpg
ENDO,White,GERD8265WB-T_GRX481N-T,GLARE-LESS Downlight Fixed Mirror,85,,,104,RECESSED,32,20,19.6,,,1203,3500,83,61,ENDO,GRX481N-T,NON-INTEGRATED,YES,0.3,5,,https://data5.endo-lighting.co.jp/products/search/index.jsp,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/38a9e9a0-b9ce-4eb9-876b-37a066baa7af/93aef33e-4d8c-4500-9d8c-52c23615db7e_thumb.jpg
ENDO,White,GERD8328WA-T_GRX466N-T,GLARE-LESS Downlight Adjustable Mirror,85,,,137,RECESSED,8,20,10.2,,,175,3500,83,17,ENDO,GRX466N-T,NON-INTEGRATED,NO,0.3,5,,https://data5.endo-lighting.co.jp/products/search/index.jsp,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/6369ec3b-da7f-4e92-bac3-71032b2426c1/1d3ddebd-dab4-414b-a3a4-927275208839_thumb.jpg
ENDO,White,GERD6402WC-T_GRX467N-T,GLARE-LESS Downlight Fixed Mirror,85,,,80,RECESSED,46,20,14.2,,,659,2700,93,46,ENDO,GRX467N-T,NON-INTEGRATED,NO,0.2,5,,https://data5.endo-lighting.co.jp/products/search/index.jsp,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/5eb8d663-cb60-4c27-be8a-f8d670dbf72f/gerd8907_thumb.jpg
ENDO,White,GERD5357WC-T_GRX467N-T,GLARE-LESS Downlight Adjustable Mirror,108,,,150,RECESSED,30,20,13.7,,,1152,3500,83,84,ENDO,GRX467N-T,NON-INTEGRATED,NO,0.5,5,,https://data5.endo-lighting.co.jp/products/search/index.jsp,
ENDO,White,GERD8908WA-T_GRX506N-T,GLARE-LESS Downlight Fixed Mirror,60,,,101,NO,,,,RECESSED,18,20,6.5,,,229,3000,93,35,ENDO,GRX506N-T,NON-INTEGRATED,YES,https://lcproductionstore.blob.core.windows.net/entity-attachments/LibraryEntity/5896d730-2f70-401d-818e-ec868aff2a38/photo_thumb.jpg
